,FID,Id,lat,lon
199,199,0,32.55,112.25
200,200,0,32.55,112.35
201,201,0,32.55,112.45
202,202,0,32.55,112.55
203,203,0,32.55,112.65
204,204,0,32.55,112.75
205,205,0,32.55,112.85
206,206,0,32.55,112.95
207,207,0,32.55,113.05
208,208,0,32.55,113.15
209,209,0,32.55,113.25
210,210,0,32.55,113.35
211,211,0,32.55,113.45
212,212,0,32.55,113.55
213,213,0,32.55,113.65
214,214,0,32.55,113.75
215,215,0,32.55,113.85
216,216,0,32.55,113.95
217,217,0,32.55,114.05
218,218,0,32.55,114.15
219,219,0,32.55,114.25
220,220,0,32.55,114.35
221,221,0,32.55,114.45
222,222,0,32.55,114.55
223,223,0,32.55,114.65
224,224,0,32.55,114.75
225,225,0,32.55,114.85
226,226,0,32.55,114.95
227,227,0,32.55,115.05
228,228,0,32.55,115.15
229,229,0,32.55,115.25
230,230,0,32.55,115.35
231,231,0,32.65,111.55
232,232,0,32.65,111.65
233,233,0,32.65,111.75
234,234,0,32.65,111.85
235,235,0,32.65,111.95
236,236,0,32.65,112.05
237,237,0,32.65,112.15
238,238,0,32.65,112.25
239,239,0,32.65,112.35
240,240,0,32.65,112.45
241,241,0,32.65,112.55
242,242,0,32.65,112.65
243,243,0,32.65,112.75
244,244,0,32.65,112.85
245,245,0,32.65,112.95
246,246,0,32.65,113.05
247,247,0,32.65,113.15
248,248,0,32.65,113.25
249,249,0,32.65,113.35
250,250,0,32.65,113.45
251,251,0,32.65,113.55
252,252,0,32.65,113.65
253,253,0,32.65,113.75
254,254,0,32.65,113.85
255,255,0,32.65,113.95
256,256,0,32.65,114.05
257,257,0,32.65,114.15
258,258,0,32.65,114.25
259,259,0,32.65,114.35
260,260,0,32.65,114.45
261,261,0,32.65,114.55
262,262,0,32.65,114.65
263,263,0,32.65,114.75
264,264,0,32.65,114.85
265,265,0,32.65,114.95
266,266,0,32.65,115.05
267,267,0,32.65,115.15
268,268,0,32.75,111.55
269,269,0,32.75,111.65
270,270,0,32.75,111.75
271,271,0,32.75,111.85
272,272,0,32.75,111.95
273,273,0,32.75,112.05
274,274,0,32.75,112.15
275,275,0,32.75,112.25
276,276,0,32.75,112.35
277,277,0,32.75,112.45
278,278,0,32.75,112.55
279,279,0,32.75,112.65
280,280,0,32.75,112.75
281,281,0,32.75,112.85
282,282,0,32.75,112.95
283,283,0,32.75,113.05
284,284,0,32.75,113.15
285,285,0,32.75,113.25
286,286,0,32.75,113.35
287,287,0,32.75,113.45
288,288,0,32.75,113.55
289,289,0,32.75,113.65
290,290,0,32.75,113.75
291,291,0,32.75,113.85
292,292,0,32.75,113.95
293,293,0,32.75,114.05
294,294,0,32.75,114.15
295,295,0,32.75,114.25
296,296,0,32.75,114.35
297,297,0,32.75,114.45
298,298,0,32.75,114.55
299,299,0,32.75,114.65
300,300,0,32.75,114.75
301,301,0,32.75,114.85
302,302,0,32.75,114.95
303,303,0,32.75,115.05
304,304,0,32.75,115.15
305,305,0,32.85,111.35
306,306,0,32.85,111.45
307,307,0,32.85,111.55
308,308,0,32.85,111.65
309,309,0,32.85,111.75
310,310,0,32.85,111.85
311,311,0,32.85,111.95
312,312,0,32.85,112.05
313,313,0,32.85,112.15
314,314,0,32.85,112.25
315,315,0,32.85,112.35
316,316,0,32.85,112.45
317,317,0,32.85,112.55
318,318,0,32.85,112.65
319,319,0,32.85,112.75
320,320,0,32.85,112.85
321,321,0,32.85,112.95
322,322,0,32.85,113.05
323,323,0,32.85,113.15
324,324,0,32.85,113.25
325,325,0,32.85,113.35
326,326,0,32.85,113.45
327,327,0,32.85,113.55
328,328,0,32.85,113.65
329,329,0,32.85,113.75
330,330,0,32.85,113.85
331,331,0,32.85,113.95
332,332,0,32.85,114.05
333,333,0,32.85,114.15
334,334,0,32.85,114.25
335,335,0,32.85,114.35
336,336,0,32.85,114.45
337,337,0,32.85,114.55
338,338,0,32.85,114.65
339,339,0,32.85,114.75
340,340,0,32.85,114.85
341,341,0,32.85,114.95
342,342,0,32.85,115.05
343,343,0,32.85,115.15
344,344,0,32.95,111.25
345,345,0,32.95,111.35
346,346,0,32.95,111.45
347,347,0,32.95,111.55
348,348,0,32.95,111.65
349,349,0,32.95,111.75
350,350,0,32.95,111.85
351,351,0,32.95,111.95
352,352,0,32.95,112.05
353,353,0,32.95,112.15
354,354,0,32.95,112.25
355,355,0,32.95,112.35
356,356,0,32.95,112.45
357,357,0,32.95,112.55
358,358,0,32.95,112.65
359,359,0,32.95,112.75
360,360,0,32.95,112.85
361,361,0,32.95,112.95
362,362,0,32.95,113.05
363,363,0,32.95,113.15
364,364,0,32.95,113.25
365,365,0,32.95,113.35
366,366,0,32.95,113.45
367,367,0,32.95,113.55
368,368,0,32.95,113.65
369,369,0,32.95,113.75
370,370,0,32.95,113.85
371,371,0,32.95,113.95
372,372,0,32.95,114.05
373,373,0,32.95,114.15
374,374,0,32.95,114.25
375,375,0,32.95,114.35
376,376,0,32.95,114.45
377,377,0,32.95,114.55
378,378,0,32.95,114.65
379,379,0,32.95,114.75
380,380,0,32.95,114.85
381,381,0,33.05,111.15
382,382,0,33.05,111.25
383,383,0,33.05,111.35
384,384,0,33.05,111.45
385,385,0,33.05,111.55
386,386,0,33.05,111.65
387,387,0,33.05,111.75
388,388,0,33.05,111.85
389,389,0,33.05,111.95
390,390,0,33.05,112.05
391,391,0,33.05,112.15
392,392,0,33.05,112.25
393,393,0,33.05,112.35
394,394,0,33.05,112.45
395,395,0,33.05,112.55
396,396,0,33.05,112.65
397,397,0,33.05,112.75
398,398,0,33.05,112.85
399,399,0,33.05,112.95
